FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.9313599,9313599,POINT (16.331983146691012 48.174334378195404),Meidling,Meidling,"RJX 865, NJ 467, D 16845, D 19930, IC 530, RJ 644, RJ 558, RJ 649, D 852, IC 495, RJ 535, RJX 869, IC 296, RJ 132, RJ 19932, NJ 40294, D 14000, RJ 530, RJX 262, RJX 764, RJ 559, IC 358, R97, RJX 8",,4,https://anachb.vor.at?P=SQ&input=Wien%20Meidling&start=1,
OEFFHALTESTOGD.9313600,9313600,POINT (16.35446786183284 48.19262017702289),Pilgramgasse,Pilgramgasse,"12A, 13A, N60, U4, 14A, N71",,4,https://anachb.vor.at?P=SQ&input=Wien%20Pilgramgasse&start=1,
OEFFHALTESTOGD.9313601,9313601,POINT (16.312202378130166 48.1991172725793),Hütteldorfer Straße,Hütteldorfer Straße,"49, 10, N49, U3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Hütteldorfer%20Straße&start=1,
OEFFHALTESTOGD.9313602,9313602,POINT (16.39232274292899 48.21853450959927),Praterstern,Praterstern,"S1, REX1, CJX9, R1, 5B, R 21222, REX92, 82A, REX2, REX7, S2, U1, N25, O, U2, REX3, S4, N81, 175, S7, 5, S3, 80A",,5,https://anachb.vor.at?P=SQ&input=Wien%20Praterstern&start=1,
OEFFHALTESTOGD.9313603,9313603,POINT (16.39232271336234 48.21850753013031),Praterstern,Praterstern,"S1, REX1, CJX9, R1, 5B, R 21222, REX92, 82A, REX2, REX7, S2, U1, N25, O, U2, REX3, S4, N81, 175, S7, 5, S3, 80A",,4,https://anachb.vor.at?P=SQ&input=Wien%20Praterstern&start=1,
OEFFHALTESTOGD.9313604,9313604,POINT (16.35835761488466 48.23563184898253),Spittelau,Spittelau,"REX41, N35, REX4, U4, 37A, N8, U6, R40, S40, D, 35A, N36",,5,https://anachb.vor.at?P=SQ&input=Wien%20Spittelau&start=1,
OEFFHALTESTOGD.9313605,9313605,POINT (16.35835760315676 48.23560486958279),Spittelau,Spittelau,"REX41, N35, REX4, U4, 37A, N8, U6, R40, S40, D, 35A, N36",,4,https://anachb.vor.at?P=SQ&input=Wien%20Spittelau&start=1,
OEFFHALTESTOGD.9313606,9313606,POINT (16.35533928250636 48.21001959354723),Rathaus,Rathaus,"U2, 2",,4,https://anachb.vor.at?P=SQ&input=Wien%20Rathaus&start=1,
OEFFHALTESTOGD.9313607,9313607,POINT (16.386268136256312 48.19478502641583),Rennweg,Rennweg,"S1, REX1, CJX9, R1, R 21222, 71, REX92, REX2, REX7, 77A, S2, O, REX3, S4, N71, U2Z, S7, S3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Rennweg&start=1,
OEFFHALTESTOGD.9313608,9313608,POINT (16.367655105882672 48.19835674139007),Resselgasse,Resselgasse,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Resselgasse&start=1,
