FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.3935183,POINT (16.363945889057604 48.21495597105883),Landespolizeidirektion Wien,"01., Schottenring 7-9",3935183,,https://www.polizei.gv.at/
POLIZEIOGD.3935147,POINT (16.335875569932995 48.21008464109041),Polizeiinspektion Wien-Brunnengasse,"16., Brunnengasse 40",3935147,,https://www.polizei.gv.at/
POLIZEIOGD.3935148,POINT (16.33345464681863 48.20654713947516),Polizeiinspektion Wien-Koppstraße,"16., Koppstraße 9-11",3935148,,https://www.polizei.gv.at/
POLIZEIOGD.3935149,POINT (16.306485389148534 48.21404430101394),Polizeiinspektion Wien-Maroltingergasse,"16., Maroltingergasse 79",3935149,,https://www.polizei.gv.at/
POLIZEIOGD.3935150,POINT (16.331246475195485 48.219487829235305),Polizeiinspektion Wien-Rötzergasse,"17., Rötzergasse 24",3935150,,https://www.polizei.gv.at/
POLIZEIOGD.3935151,POINT (16.317214781586515 48.22454169385832),Polizeiinspektion Wien-Halirschgasse,"17., Halirschgasse 16",3935151,,https://www.polizei.gv.at/
POLIZEIOGD.3935152,POINT (16.334290721673366 48.227467609214344),Polizeiinspektion Wien-Schulgasse,"18., Schulgasse 88",3935152,,https://www.polizei.gv.at/
POLIZEIOGD.3935153,POINT (16.34097856992697 48.221140195403464),Polizeiinspektion Wien-Martinstraße,"18., Martinstraße 40",3935153,,https://www.polizei.gv.at/
POLIZEIOGD.3935155,POINT (16.35585691394157 48.24748756008019),Polizeiinspektion Wien-Hohe Warte,"19., Hohe Warte 32",3935155,,https://www.polizei.gv.at/
POLIZEIOGD.3935156,POINT (16.34331254290672 48.245227498827155),Polizeiinspektion Wien-Billrothstraße,"19., Billrothstraße 79a",3935156,,https://www.polizei.gv.at/
POLIZEIOGD.3935157,POINT (16.32805239251793 48.242122533543395),Polizeiinspektion Wien-Krottenbachstraße,"19., Krottenbachstraße 106a",3935157,,https://www.polizei.gv.at/
POLIZEIOGD.3935158,POINT (16.36690230730574 48.259976753875634),Polizeiinspektion Wien-Nußdorfer Platz,"19., Nußdorfer Platz 1-2",3935158,,https://www.polizei.gv.at/
POLIZEIOGD.3935160,POINT (16.369421889303094 48.23397213633772),Polizeiinspektion Wien-Pappenheimgasse,"20., Pappenheimgasse 33",3935160,,https://www.polizei.gv.at/
POLIZEIOGD.3935161,POINT (16.38285309296863 48.23373909902246),Polizeiinspektion Wien-Dresdner-Straße,"20., Dresdner Straße 84",3935161,,https://www.polizei.gv.at/
POLIZEIOGD.3935162,POINT (16.379807912182095 48.24353158406343),Polizeiinspektion Wien-Vorgartenstraße,"20., Vorgartenstraße 27-29",3935162,,https://www.polizei.gv.at/
POLIZEIOGD.3935164,POINT (16.3977729366618 48.26026269319628),Polizeiinspektion Wien-Hermann-Bahr-Straße,"21., Hermann-Bahr-Straße 3",3935164,,https://www.polizei.gv.at/
POLIZEIOGD.3935165,POINT (16.40526649888213 48.273105977835336),Polizeiinspektion Wien-Trillergasse,"21., Trillergasse 6",3935165,,https://www.polizei.gv.at/
POLIZEIOGD.3935166,POINT (16.390871381893284 48.28929555971695),Polizeiinspektion Wien-Ziegelofenweg,"21., Ziegelofenweg 25",3935166,,https://www.polizei.gv.at/
POLIZEIOGD.3935167,POINT (16.446936215892485 48.27385837821585),Polizeiinspektion Wien-Kürschnergasse,"21., Kürschnergasse 18c",3935167,,https://www.polizei.gv.at/
POLIZEIOGD.3935168,POINT (16.420007488155807 48.25327192354508),Polizeiinspektion Wien-Donaufelder Straße,"21., Donaufelder Straße 99",3935168,,https://www.polizei.gv.at/
