Arbeitslos gemeldete Personen im Alter 15-64 Jahre nach Geschlecht (absolut und pro 1.000 EinwohnerInnen) im Jahresdurchschnitt seit 2002 - Bezirke Wien | Annual average of unemployed persons aged 15-64 by sex (absolute and per 1.000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;UEP_VALUE;UEP_DENSITY;;
AT13;90000;90000;2022;2022;2; 60.859 ; 89,91 ;;
AT13;90100;90100;2022;2022;2; 170 ; 32,09 ;;
AT13;90200;90200;2022;2022;2; 3.150 ; 83,92 ;;
AT13;90300;90300;2022;2022;2; 2.368 ; 68,14 ;;
AT13;90400;90400;2022;2022;2; 698 ; 58,72 ;;
AT13;90500;90500;2022;2022;2; 1.751 ; 88,48 ;;
AT13;90600;90600;2022;2022;2; 743 ; 63,29 ;;
AT13;90700;90700;2022;2022;2; 574 ; 48,38 ;;
AT13;90800;90800;2022;2022;2; 387 ; 43,82 ;;
AT13;90900;90900;2022;2022;2; 727 ; 45,85 ;;
AT13;91000;91000;2022;2022;2; 8.694 ; 122,21 ;;
AT13;91100;91100;2022;2022;2; 4.543 ; 123,66 ;;
AT13;91200;91200;2022;2022;2; 4.008 ; 117,45 ;;
AT13;91300;91300;2022;2022;2; 1.077 ; 60,66 ;;
AT13;91400;91400;2022;2022;2; 2.613 ; 81,90 ;;
AT13;91500;91500;2022;2022;2; 2.833 ; 106,17 ;;
AT13;91600;91600;2022;2022;2; 3.344 ; 95,61 ;;
AT13;91700;91700;2022;2022;2; 1.644 ; 83,95 ;;
AT13;91800;91800;2022;2022;2; 1.061 ; 57,01 ;;
AT13;91900;91900;2022;2022;2; 1.664 ; 66,34 ;;
AT13;92000;92000;2022;2022;2; 3.404 ; 117,17 ;;
AT13;92100;92100;2022;2022;2; 6.408 ; 104,03 ;;
AT13;92200;92200;2022;2022;2; 5.697 ; 77,66 ;;
AT13;92300;92300;2022;2022;2; 3.302 ; 85,32 ;;
