FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.339151763567077 48.211378396869264),,,"2, 33, 46, N8, U6",,,,
,,POINT (16.43356424640316 48.2434603854093),,,"2, 22A, 25, 26, 26A, 27A, 27B, 93A, 94A, N25, N26, U1",,,,
,,POINT (16.443292907709203 48.250297846640926),,,"22A, 24A, 25A, 26, 26E, 31A, N20, N23, N24, N25, U1",,,,
,,POINT (16.4154902187942 48.232331849195624),,,"20A, 92A, 92B, N25, N90, U1, VAL 3",,,,
,,POINT (16.400524343403493 48.19732682553138),,,"77A, N75, U3",,,,
,,POINT (16.368939703223433 48.20094942817976),,,"096, 1, 2, 311, 4A, 59A, 62, B01, B05, N46, N49, N60, N62, U1, U2Z, U4, WLB",,,,
,,POINT (16.358986445323204 48.1968119538385),,,"N60, U4",,,,
,,POINT (16.364457099592634 48.18279831734915),,,"1, 18, 62, WLB",,,,
,,POINT (16.376530434606547 48.1781262320454),,,"14A, U1",,,,
,,POINT (16.340939396634024 48.24007133804924),,,"35A, N35, S45",,,,
,,POINT (16.384579359272443 48.206065473952755),,,"1, 74A, CAT, N75, O, R 21222, R1, R3, REX1, REX2, REX3, REX7, REX92, S1, S2, S3, S4, S7, U3, U4",,,,
,,POINT (16.362687411346254 48.185541405319164),,,"1, 62, N62, WLB",,,,
,,POINT (16.325146920919025 48.135995644813725),,,"SEV , WLB",,,,
,,POINT (16.400290861466598 48.25681452118094),,,"150, 151, 2, 25, 26, 28A, 29A, 29B, 30, 31, 33, 33A, 34A, 500, 501, 502, 505,, 850, CJX9, G3, N20, N29, N30, N31, R 21170, R 21222, R1, REX 2213, REX 24212, REX 24312, REX 27305, REX1, REX2, REX92, S1, S3, SV900, U6",,,,
,,POINT (16.361142389570404 48.22600969271365),,,"1, 31, 33, 5, D, E4, N38, R40, REX 19132, REX4, REX41, S40",,,,
,,POINT (16.364870358848687 48.22702400576565),,,"31, 33, 5, D, U4",,,,
,,POINT (16.340059013316164 48.17934824888823),,,"18, 62, 63A, N8, WLB",,,,
,,POINT (16.329108636218468 48.231179987968275),,,"10A, 40, 41, 42A, 9, N41, S45",,,,
,,POINT (16.411115367441298 48.17949190411361),,,"71, D, N71, U3",,,,
,,POINT (16.415301439931962 48.17433432614724),,,"11, 15A, 71, 76A, 76B, D, N6, N71, U3",,,,
,,POINT (16.33755274237635 48.190721896452864),,,"18, 57A, 6, N6, N8, U6",,,,
,,POINT (16.335836907196718 48.159451747075806),,,"16A, 65A, N65, WLB",,,,
,,POINT (16.22357496755396 48.21039985367594),,,"450, 50B, S50",,,,
,,POINT (16.42668313820962 48.17953687432581),,,"72A, 76A, 76B, S80",,,,
,,POINT (16.457782695724884 48.22088357797962),,,"25, 92A, 95A, 96A, N26, U2",,,,
,,POINT (16.407028118246224 48.17502030823262),,,"11, 69A, D, N6, S7, SV907",,,,
,,POINT (16.48670827184198 48.233462699832394),,,"26, 26E, 540, 595, 85A, 95B, 97A, N23, U2",,,,
,,POINT (16.365768700940226 48.249116579480685),,,"10A, 11A, 142, 38A, 38B, 39A, 400, 413, 5B, N36, R40, REX 19132, REX4, REX41, S40, S45, U4",,,,
