FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8757579,8757579,POINT (16.339151763567077 48.211378396869264),Josefstädter Straße,Josefstädter Straße,"N8, U6, 33, 46, 2",,4,https://anachb.vor.at?P=SQ&input=Wien%20Josefstädter%20Straße&start=1,
OEFFHALTESTOGD.8757580,8757580,POINT (16.43356424640316 48.2434603854093),Kagran,Kagran,"22A, 25, 27A, 26, 26A, 2, N26, U1, N25, 27B, 94A, 93A",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kagran&start=1,
OEFFHALTESTOGD.8757581,8757581,POINT (16.443292907709203 48.250297846640926),Kagraner Platz,Kagraner Platz,"22A, N23, N24, N20, 26, 24A, 25A, 26E, 31A, U1, N25",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.8757582,8757582,POINT (16.4154902187942 48.232331849195624),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N90, U1, N25, 20A, 92A, 92B",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kaisermühlen-VIC&start=1,
OEFFHALTESTOGD.8757583,8757583,POINT (16.400524343403493 48.19732682553138),Kardinal-Nagl-Platz,Kardinal-Nagl-Platz,"77A, N75, U3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kardinal-Nagl-Platz&start=1,
OEFFHALTESTOGD.8757584,8757584,POINT (16.368939703223433 48.20094942817976),Karlsplatz,Karlsplatz,"B01, 2, 1, U1, N49, 4A, 59A, N60, U4, B05, U2Z, N46, 096, 311, N62, 62",,4,https://anachb.vor.at?P=SQ&input=Wien%20Karlsplatz&start=1,
OEFFHALTESTOGD.8757585,8757585,POINT (16.368939703223433 48.20094942817976),Karlsplatz,Karlsplatz,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Karlsplatz&start=1,
OEFFHALTESTOGD.8757586,8757586,POINT (16.358986445323204 48.1968119538385),Kettenbrückengasse,Kettenbrückengasse,"N60, U4",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kettenbrückengasse&start=1,
OEFFHALTESTOGD.8757587,8757587,POINT (16.364457099592634 48.18279831734915),Kliebergasse,Kliebergasse,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Kliebergasse&start=1,
OEFFHALTESTOGD.8757588,8757588,POINT (16.376530434606547 48.1781262320454),Keplerplatz,Keplerplatz,"14A, U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Keplerplatz&start=1,
OEFFHALTESTOGD.8757589,8757589,POINT (16.340939396634024 48.24007133804924),Krottenbachstraße,Krottenbachstraße,"N35, S45, 35A",,5,https://anachb.vor.at?P=SQ&input=Wien%20Krottenbachstraße&start=1,
